Time,Angle,AngularVelocity,AngularAcceleration,TangentialVelocity,RadialAcceleration,TangentialAcceleration,xPosition,yPosition,zPosition,Weight,Normal
0.0,0.01745,0.0,0.11402,0.0,-0.0,0.17103,1.49977,0.02617,0.0,9.8,9.79851
0.001,0.01745,0.00011,0.11402,0.00016,-0.0,0.17103,1.49977,0.02617,0.0,9.8,9.79851
0.002,0.01745,0.00023,0.11402,0.00035,-0.0,0.17103,1.49977,0.02617,0.0,9.8,9.79851
0.003,0.01745,0.00034,0.11403,0.00051,-0.0,0.17104,1.49977,0.02617,0.0,9.8,9.79851
0.004,0.01745,0.00046,0.11403,0.00069,-0.0,0.17104,1.49977,0.02617,0.0,9.8,9.79851
0.005,0.01745,0.00057,0.11403,0.00086,-0.0,0.17104,1.49977,0.02617,0.0,9.8,9.79851
0.006,0.01746,0.00068,0.11404,0.00102,-0.0,0.17106,1.49977,0.02619,0.0,9.8,9.79851
0.007,0.01746,0.0008,0.11404,0.0012,-0.0,0.17106,1.49977,0.02619,0.0,9.8,9.79851
0.008,0.01746,0.00091,0.11405,0.00136,-0.0,0.17108,1.49977,0.02619,0.0,9.8,9.79851
0.009,0.01746,0.00103,0.11405,0.00155,-0.0,0.17108,1.49977,0.02619,0.0,9.8,9.79851
0.01,0.01746,0.00114,0.11406,0.00171,-0.0,0.17109,1.49977,0.02619,0.0,9.8,9.7985
0.011,0.01746,0.00125,0.11407,0.00188,-0.0,0.1711,1.49977,0.02619,0.0,9.8,9.7985
0.012,0.01746,0.00137,0.11408,0.00206,-0.0,0.17112,1.49977,0.02619,0.0,9.8,9.7985
0.013,0.01746,0.00148,0.11409,0.00222,-0.0,0.17113,1.49977,0.02619,0.0,9.8,9.7985
0.014,0.01746,0.0016,0.1141,0.0024,-0.0,0.17115,1.49977,0.02619,0.0,9.8,9.7985
0.015,0.01747,0.00171,0.11411,0.00256,-0.0,0.17116,1.49977,0.0262,0.0,9.8,9.7985
0.016,0.01747,0.00182,0.11412,0.00273,-0.0,0.17118,1.49977,0.0262,0.0,9.8,9.7985
0.017,0.01747,0.00194,0.11413,0.00291,-1e-05,0.1712,1.49977,0.0262,0.0,9.8,9.7985
0.018,0.01747,0.00205,0.11414,0.00308,-1e-05,0.17121,1.49977,0.0262,0.0,9.8,9.7985
0.019,0.01747,0.00217,0.11416,0.00326,-1e-05,0.17124,1.49977,0.0262,0.0,9.8,9.7985
0.02,0.01748,0.00228,0.11417,0.00342,-1e-05,0.17126,1.49977,0.02622,0.0,9.8,9.7985
0.021,0.01748,0.0024,0.11419,0.0036,-1e-05,0.17128,1.49977,0.02622,0.0,9.8,9.79849
0.022,0.01748,0.00251,0.1142,0.00376,-1e-05,0.1713,1.49977,0.02622,0.0,9.8,9.79849
0.023,0.01748,0.00262,0.11422,0.00393,-1e-05,0.17133,1.49977,0.02622,0.0,9.8,9.79849
0.024,0.01749,0.00274,0.11424,0.00411,-1e-05,0.17136,1.49977,0.02623,0.0,9.8,9.79849
0.025,0.01749,0.00285,0.11426,0.00428,-1e-05,0.17139,1.49977,0.02623,0.0,9.8,9.79849
0.026,0.01749,0.00297,0.11427,0.00446,-1e-05,0.1714,1.49977,0.02623,0.0,9.8,9.79849
0.027,0.01749,0.00308,0.11429,0.00462,-1e-05,0.17144,1.49977,0.02623,0.0,9.8,9.79849
0.028,0.0175,0.0032,0.11431,0.0048,-2e-05,0.17146,1.49977,0.02625,0.0,9.8,9.79848
0.029,0.0175,0.00331,0.11434,0.00496,-2e-05,0.17151,1.49977,0.02625,0.0,9.8,9.79848
0.03,0.0175,0.00342,0.11436,0.00513,-2e-05,0.17154,1.49977,0.02625,0.0,9.8,9.79848
0.031,0.01751,0.00354,0.11438,0.00531,-2e-05,0.17157,1.49977,0.02626,0.0,9.8,9.79848
0.032,0.01751,0.00365,0.1144,0.00548,-2e-05,0.1716,1.49977,0.02626,0.0,9.8,9.79848
0.033,0.01752,0.00377,0.11443,0.00566,-2e-05,0.17164,1.49977,0.02628,0.0,9.8,9.79848
0.034,0.01752,0.00388,0.11445,0.00582,-2e-05,0.17168,1.49977,0.02628,0.0,9.8,9.79847
0.035,0.01752,0.004,0.11448,0.006,-2e-05,0.17172,1.49977,0.02628,0.0,9.8,9.79847
0.036,0.01753,0.00411,0.11451,0.00616,-3e-05,0.17176,1.49977,0.02629,0.0,9.8,9.79847
0.037,0.01753,0.00423,0.11453,0.00634,-3e-05,0.1718,1.49977,0.02629,0.0,9.8,9.79847
0.038,0.01754,0.00434,0.11456,0.00651,-3e-05,0.17184,1.49977,0.02631,0.0,9.8,9.79847
0.039,0.01754,0.00445,0.11459,0.00668,-3e-05,0.17188,1.49977,0.02631,0.0,9.8,9.79846
0.04,0.01754,0.00457,0.11462,0.00686,-3e-05,0.17193,1.49977,0.02631,0.0,9.8,9.79846
0.041,0.01755,0.00468,0.11465,0.00702,-3e-05,0.17198,1.49977,0.02632,0.0,9.8,9.79846
0.042,0.01755,0.0048,0.11468,0.0072,-3e-05,0.17202,1.49977,0.02632,0.0,9.8,9.79846
0.043,0.01756,0.00491,0.11471,0.00736,-4e-05,0.17207,1.49977,0.02634,0.0,9.8,9.79845
0.044,0.01756,0.00503,0.11474,0.00754,-4e-05,0.17211,1.49977,0.02634,0.0,9.8,9.79845
0.045,0.01757,0.00514,0.11478,0.00771,-4e-05,0.17217,1.49977,0.02635,0.0,9.8,9.79845
0.046,0.01757,0.00526,0.11481,0.00789,-4e-05,0.17222,1.49977,0.02635,0.0,9.8,9.79845
0.047,0.01758,0.00537,0.11485,0.00806,-4e-05,0.17228,1.49977,0.02637,0.0,9.8,9.79844
0.048,0.01758,0.00549,0.11488,0.00823,-5e-05,0.17232,1.49977,0.02637,0.0,9.8,9.79844
0.049,0.01759,0.0056,0.11492,0.0084,-5e-05,0.17238,1.49977,0.02638,0.0,9.8,9.79844
0.05,0.0176,0.00572,0.11495,0.00858,-5e-05,0.17242,1.49977,0.0264,0.0,9.8,9.79843
0.051,0.0176,0.00583,0.11499,0.00874,-5e-05,0.17248,1.49977,0.0264,0.0,9.8,9.79843
0.052,0.01761,0.00595,0.11503,0.00893,-5e-05,0.17254,1.49977,0.02641,0.0,9.8,9.79843
0.053,0.01761,0.00606,0.11507,0.00909,-6e-05,0.1726,1.49977,0.02641,0.0,9.8,9.79842
0.054,0.01762,0.00618,0.11511,0.00927,-6e-05,0.17266,1.49977,0.02643,0.0,9.8,9.79842
0.055,0.01763,0.00629,0.11515,0.00943,-6e-05,0.17272,1.49977,0.02644,0.0,9.8,9.79842
0.056,0.01763,0.00641,0.11519,0.00962,-6e-05,0.17278,1.49977,0.02644,0.0,9.8,9.79842
0.057,0.01764,0.00652,0.11523,0.00978,-6e-05,0.17284,1.49977,0.02646,0.0,9.8,9.79841
0.058,0.01765,0.00664,0.11528,0.00996,-7e-05,0.17292,1.49977,0.02647,0.0,9.8,9.79841
0.059,0.01765,0.00675,0.11532,0.01012,-7e-05,0.17298,1.49977,0.02647,0.0,9.8,9.7984
0.06,0.01766,0.00687,0.11537,0.0103,-7e-05,0.17306,1.49977,0.02649,0.0,9.8,9.7984
0.061,0.01767,0.00698,0.11541,0.01047,-7e-05,0.17312,1.49977,0.0265,0.0,9.8,9.7984
0.062,0.01767,0.0071,0.11546,0.01065,-8e-05,0.17319,1.49977,0.0265,0.0,9.8,9.79839
0.063,0.01768,0.00721,0.1155,0.01082,-8e-05,0.17325,1.49977,0.02652,0.0,9.8,9.79839
0.064,0.01769,0.00733,0.11555,0.011,-8e-05,0.17332,1.49977,0.02653,0.0,9.8,9.79839
0.065,0.01769,0.00745,0.1156,0.01118,-8e-05,0.1734,1.49977,0.02653,0.0,9.8,9.79838
0.066,0.0177,0.00756,0.11565,0.01134,-9e-05,0.17348,1.49977,0.02655,0.0,9.8,9.79838
0.067,0.01771,0.00768,0.1157,0.01152,-9e-05,0.17355,1.49976,0.02656,0.0,9.8,9.79837
0.068,0.01772,0.00779,0.11575,0.01168,-9e-05,0.17362,1.49976,0.02658,0.0,9.8,9.79837
0.069,0.01773,0.00791,0.1158,0.01186,-9e-05,0.1737,1.49976,0.02659,0.0,9.8,9.79837
0.07,0.01773,0.00802,0.11585,0.01203,-0.0001,0.17378,1.49976,0.02659,0.0,9.8,9.79836
0.071,0.01774,0.00814,0.1159,0.01221,-0.0001,0.17385,1.49976,0.02661,0.0,9.8,9.79836
0.072,0.01775,0.00826,0.11596,0.01239,-0.0001,0.17394,1.49976,0.02662,0.0,9.8,9.79835
0.073,0.01776,0.00837,0.11601,0.01256,-0.00011,0.17402,1.49976,0.02664,0.0,9.8,9.79835
