,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,KineticEnergy,Potential,Energy
0,0.0,-2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,2.0,-19.14213562,-17.14213562
1,0.02,-1.99952142,0.0199984,0.04786058,0.99976066,0.0199984,1.99952142,0.99976066,-0.04786058,1.99952142,-0.0199984,-0.04786058,-0.99976066,-0.0199984,-1.99952142,-0.99976066,0.04786058,2.00362404,-19.14575967,-17.14213562
2,0.04,-1.99808537,0.03998723,0.09575264,0.99904196,0.03998723,1.99808537,0.99904196,-0.09575264,1.99808537,-0.03998723,-0.09575264,-0.99904196,-0.03998723,-1.99808537,-0.99904196,0.09575264,2.0145068,-19.15664243,-17.14213562
3,0.06,-1.99569089,0.05995687,0.14370775,0.99784177,0.05995687,1.99569089,0.99784177,-0.14370775,1.99569089,-0.05995687,-0.14370775,-0.99784177,-0.05995687,-1.99569089,-0.99784177,0.14370775,2.03268023,-19.17481585,-17.14213562
4,0.08,-1.99233642,0.07989767,0.19175774,0.99615656,0.07989767,1.99233642,0.99615656,-0.19175774,1.99233642,-0.07989767,-0.19175774,-0.99615656,-0.07989767,-1.99233642,-0.99615656,0.19175774,2.05819785,-19.20033348,-17.14213562
5,0.1,-1.98801974,0.09979987,0.23993474,0.99398135,0.09979987,1.98801974,0.99398135,-0.23993474,1.98801974,-0.09979987,-0.23993474,-0.99398135,-0.09979987,-1.98801974,-0.99398135,0.23993474,2.09113521,-19.23327083,-17.14213562
6,0.12,-1.98273797,0.11965361,0.28827137,0.99130965,0.11965361,1.98273797,0.99130965,-0.28827137,1.98273797,-0.11965361,-0.28827137,-0.99130965,-0.11965361,-1.98273797,-0.99130965,0.28827137,2.13159042,-19.27372604,-17.14213562
7,0.14,-1.9764876,0.13944889,0.33680081,0.98813345,0.13944889,1.9764876,0.98813345,-0.33680081,1.9764876,-0.13944889,-0.33680081,-0.98813345,-0.13944889,-1.9764876,-0.98813345,0.33680081,2.17968498,-19.32182061,-17.14213562
8,0.16,-1.96926443,0.15917552,0.38555695,0.9844431,0.15917552,1.96926443,0.9844431,-0.38555695,1.96926443,-0.15917552,-0.38555695,-0.9844431,-0.15917552,-1.96926443,-0.9844431,0.38555695,2.23556474,-19.37770037,-17.14213562
9,0.18,-1.96106358,0.17882311,0.43457452,0.98022729,0.17882311,1.96106358,0.98022729,-0.43457452,1.96106358,-0.17882311,-0.43457452,-0.98022729,-0.17882311,-1.96106358,-0.98022729,0.43457452,2.29940109,-19.44153671,-17.14213562
10,0.2,-1.95187947,0.19838103,0.48388921,0.97547292,0.19838103,1.95187947,0.97547292,-0.48388921,1.95187947,-0.19838103,-0.48388921,-0.97547292,-0.19838103,-1.95187947,-0.97547292,0.48388921,2.37139237,-19.513528,-17.14213562
11,0.22,-1.94170578,0.21783834,0.53353787,0.970165,0.21783834,1.94170578,0.970165,-0.53353787,1.94170578,-0.21783834,-0.53353787,-0.970165,-0.21783834,-1.94170578,-0.970165,0.53353787,2.45176557,-19.5939012,-17.14213562
12,0.24,-1.93053547,0.23718382,0.58355859,0.96428653,0.23718382,1.93053547,0.96428653,-0.58355859,1.93053547,-0.23718382,-0.58355859,-0.96428653,-0.23718382,-1.93053547,-0.96428653,0.58355859,2.54077827,-19.68291389,-17.14213562
13,0.26,-1.9183607,0.25640587,0.63399097,0.95781831,0.25640587,1.9183607,0.95781831,-0.63399097,1.9183607,-0.25640587,-0.63399097,-0.95781831,-0.25640587,-1.9183607,-0.95781831,0.63399097,2.63872091,-19.78085654,-17.14213562
14,0.28,-1.90517281,0.27549248,0.6848762,0.95073882,0.27549248,1.90517281,0.95073882,-0.6848762,1.90517281,-0.27549248,-0.6848762,-0.95073882,-0.27549248,-1.90517281,-0.95073882,0.6848762,2.74591944,-19.88805506,-17.14213562
15,0.3001,-1.8908887,0.29452549,0.73651558,0.94298379,0.29452549,1.8908887,0.94298379,-0.73651558,1.8908887,-0.29452549,-0.73651558,-0.94298379,-0.29452549,-1.8908887,-0.94298379,0.73651558,2.86334724,-20.00548286,-17.14213562
16,0.3201,-1.87564008,0.31330249,0.78844059,0.9346034,0.31330249,1.87564008,0.9346034,-0.78844059,1.87564008,-0.31330249,-0.78844059,-0.9346034,-0.31330249,-1.87564008,-0.9346034,0.78844059,2.99024415,-20.13237977,-17.14213562
