,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
0,0.0,-2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,-2.0,0.0,-1.0,2.0,3.8,-1.0,0.0,-7.0,-1.7,-1.5,0.7,6.0,2.6,1.7,-0.7,4.0,1.3,-1.7,1.3,1.5,6.2,1.5,1.5,4.3,0.0,-2.3,-1.3,0.0,-2.0,2.3,-1.5,16.86,-113.86751519,-97.00751519
1,0.02004,-1.99949243,0.01987141,0.05051341,0.9833035,3.02224506,1.00023306,1.2227072,0.02460362,0.99807896,-2.01957109,-0.19529381,-0.95359905,1.98016631,3.7996767,-0.97925177,-0.03231531,-7.0298357,-1.68591791,-1.47765054,0.70538247,6.03325307,2.58553934,1.61880276,-0.74280185,3.96431292,1.32466942,-1.86467084,1.16077485,1.53020155,6.22942939,1.51395758,1.43714258,4.2528509,-0.02431974,-2.40519607,-1.12767025,0.04821937,-2.02961058,2.51608208,-1.45482057,17.45571971,-114.46336763,-97.00764792
2,0.04008,-1.9979808,0.03941584,0.1002212,0.96736099,3.04912686,1.00105042,1.4635399,0.05889143,0.99200348,-2.03823908,-0.41602709,-0.91003546,1.96075792,3.79870258,-0.95755576,-0.06496326,-7.05922564,-1.67172889,-1.45551177,0.71067196,6.06488715,2.57024324,1.53843359,-0.78339742,3.92512811,1.34645675,-2.04974014,1.01144952,1.56067277,6.25760381,1.52692012,1.37475517,4.2036087,-0.04521173,-2.50904117,-0.95754482,0.10102144,-2.05829294,2.75876113,-1.40718811,18.43335314,-115.44120752,-97.00785438
3,0.06012,-1.99548031,0.05864802,0.14921758,0.95213408,3.08106178,1.00268779,1.72810913,0.10740805,0.98116428,-2.05607301,-0.67295709,-0.87065379,1.94179378,3.7970703,-0.93491641,-0.09801161,-7.088174,-1.65743478,-1.43357973,0.7158713,6.09491934,2.55415469,1.45894048,-0.82190962,3.88199035,1.36509767,-2.26019133,0.84545544,1.59139411,6.28453279,1.53892501,1.31284871,4.15229244,-0.06269834,-2.61229212,-0.78744782,0.15903822,-2.08598512,3.03874448,-1.35569476,19.91205727,-116.92023672,-97.00817945
4,0.08016,-1.99200433,0.07758191,0.19759045,0.93758538,3.11860053,1.00550129,2.02440167,0.17797482,0.96467331,-2.07317902,-0.98394552,-0.83795984,1.92329271,3.79477115,-0.91134407,-0.13152787,-7.11668487,-1.64303735,-1.41185033,0.72098329,6.12336759,2.53731416,1.38036081,-0.85846687,3.83432013,1.38016656,-2.50364068,0.65290014,1.62234674,6.31022606,1.55000893,1.25143179,4.09890874,-0.076758,-2.7154275,-0.61515352,0.22317945,-2.11258675,3.37384624,-1.29776732,22.10188073,-119.11059821,-97.00871748
5,0.1002,-1.9875645,0.09623072,0.24542276,0.9236779,3.16249016,1.01006119,2.36438502,0.28492894,0.9411538,-2.08973659,-1.38195298,-0.81718147,1.90527323,3.79179508,-0.88685639,-0.16558016,-7.14476228,-1.62853833,-1.3903193,0.72601072,6.15025047,2.5197595,1.30271939,-0.89320392,3.78134605,1.3909809,-2.79199662,0.41723905,1.65351255,6.3346935,1.56020746,1.19051098,4.04345783,-0.08732326,-2.81858832,-0.43829707,0.29484268,-2.1379227,3.79697899,-1.22810497,25.4070641,-122.41676006,-97.00969596
6,0.12024,-1.98217086,0.11460695,0.29279399,0.91037421,3.21378127,1.01734887,2.76708725,0.45695791,0.90824994,-2.10609321,-1.93820464,-0.82134287,1.88775344,3.78813065,-0.8614808,-0.20023784,-7.17241016,-1.61393939,-1.36898208,0.73095637,6.17558692,2.50152576,1.22602587,-0.92626331,3.72199016,1.39640107,-3.14467494,0.1073975,1.68487416,6.35794509,1.56955463,1.13009125,3.98594165,-0.09427748,-2.9214352,-0.25433115,0.37640349,-2.16164831,4.37931591,-1.13360208,30.73357103,-127.74537372,-97.01180269
7,0.14028,-1.97583188,0.13272229,0.33978183,0.89763453,3.27402313,1.0292253,3.26457136,0.75921899,0.86116589,-2.12309184,-2.85505306,-0.89499236,1.87075073,3.78376503,-0.83525907,-0.23557164,-7.19963235,-1.59924213,-1.34783368,0.73582303,6.19939586,2.48264505,1.15027049,-0.95779827,3.65466167,1.39435864,-3.59482105,-0.34427303,1.71641483,6.37999093,1.57808243,1.07017669,3.92637577,-0.0974516,-3.02288794,-0.06060314,0.47267634,-2.18292167,5.32314869,-0.9696148,40.77679734,-137.7950257,-97.01822837
8,0.16032,-1.96855444,0.1505876,0.38646466,0.88541165,3.34560958,1.04977248,3.90974347,1.37205119,0.78531355,-2.14418291,-5.25739191,-1.38202899,1.85428148,3.77868396,-0.80825643,-0.27165096,-7.22643256,-1.58444811,-1.32686834,0.74061349,6.22169578,2.46314626,1.07541502,-0.98797849,3.57689346,1.38051603,-4.19749287,-1.12031331,1.74811843,6.40084117,1.58582017,1.01077182,3.86480809,-0.09662521,-3.12072641,0.14524385,0.59826664,-2.19829128,7.75329265,-0.39212025,72.62937429,-169.71118447,-97.08181018
9,0.18036,-1.96034388,0.16821254,0.43292101,0.87363103,3.43182755,1.09047914,4.69009709,2.99504738,0.71503489,-2.28449173,2.48573743,-7.30813922,1.83836033,3.77287191,-0.78058064,-0.30852986,-7.2528144,-1.56955883,-1.30607781,0.74533019,6.24250392,2.44305461,1.00136713,-1.01700296,3.48526849,1.34309665,-4.94373116,-2.92102349,1.7799694,6.42050612,1.59279406,0.95188455,3.80134585,-0.09154297,-3.21122753,0.36400451,0.71884785,-2.09262744,0.03870043,5.62479786,87.5044542,-184.61070725,-97.10625306
10,0.2004,-1.95120366,0.18560533,0.4792742,0.86223739,3.51542194,1.19719573,1.57844097,8.31908571,0.76409426,-2.39939856,2.38418576,-4.7460061,1.82299901,3.76631282,-0.75242651,-0.34618197,-7.27878127,-1.55457576,-1.28545365,0.74997503,6.26183443,2.42239094,0.92788456,-1.0451022,3.39683313,1.23598589,-1.80996578,-8.43361083,1.81195267,6.43899626,1.59902875,0.89353005,3.73617909,-0.08197325,-3.29049902,0.59192056,0.72067039,-2.0105394,0.16953073,3.15415237,102.32350676,-199.5946764,-97.27116964
11,0.22044,-1.9411344,0.20277328,0.5256479,0.85118401,3.4589912,1.32899998,-4.55219458,3.97672428,0.81066865,-2.48368329,2.2694828,-3.76302259,1.80820581,3.75899336,-0.72383789,-0.38441056,-7.30433646,-1.5395003,-1.26499078,0.75455021,6.27969481,2.40117303,0.85463867,-1.07227814,3.4487747,1.0999252,4.33473077,-4.29003933,1.84405385,6.45632245,1.60457126,0.8357177,3.66950953,-0.06777253,-3.36234398,0.82801007,0.72557232,-1.95723119,0.31429582,2.26356435,59.6254176,-156.67681715,-97.05139955
12,0.24048,-1.93013526,0.21972291,0.57208656,0.84044898,3.37118279,1.3816684,-4.11006483,1.68427332,0.85523901,-2.55258182,2.1822768,-3.15001824,1.79399206,3.75089971,-0.69459538,-0.42351159,-7.32948316,-1.52433384,-1.2446862,0.75905804,6.2960913,2.37942052,0.78181619,-1.09848953,3.5322841,1.03879891,3.89580507,-2.21912578,1.87625952,6.47249518,1.6094596,0.77840952,3.60148106,-0.04864169,-3.42442041,1.08507427,0.73308857,-1.91744829,0.43232261,1.743881,39.74165528,-136.75946277,-97.01780749
13,0.26052,-1.91820433,0.23646058,0.61865136,0.83002939,3.29439956,1.4047671,-3.57367701,0.72615239,0.89824968,-2.61098269,2.11249214,-2.69717961,1.78037015,3.74201164,-0.66479579,-0.46371266,-7.35422451,-1.50907768,-1.22453527,0.76350155,6.31103291,2.35715058,0.70942717,-1.12394845,3.60464282,1.00256907,3.34237862,-1.50518856,1.90855671,6.48752442,1.61370766,0.72159785,3.53238848,-0.02413988,-3.4671915,1.36339232,0.74278852,-1.88628314,0.53354261,1.38535578,31.62973605,-128.64161834,-97.0118823
