,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,KineticEnergy,Potential,Energy
0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,150.0,11250.0,-20000.0,-8750.0
1,0.02002,7.732e-05,1.552e-05,0.00745013,0.0022756,4.22681475,2.84777345,-74.50127925,127.24395666,10871.03597188,-19621.03596202,-8749.99999014
2,0.04005,0.00027952,0.00011337,0.01214836,0.00783832,2.20478977,4.87384281,-121.4836011,71.61675382,9944.65749245,-18694.65746276,-8749.9999703
3,0.06008,0.00053996,0.00033514,0.01330015,0.01427347,-0.39956527,5.66061756,-133.00146933,7.26526865,8872.99061587,-17622.99056951,-8749.99995364
4,0.0801,0.00079328,0.00067909,0.01162532,0.01986248,-2.93282013,5.22406013,-116.2532053,-48.62475049,7942.23538104,-16692.23532447,-8749.99994343
5,0.10013,0.00099361,0.00112007,0.0081562,0.02388104,-4.93614428,3.81884942,-81.56201981,-88.81040989,7273.0101287,-16023.0100667,-8749.999938
6,0.12016,0.00111361,0.00162397,0.00371922,0.02613744,-6.13612157,1.78431009,-37.19216546,-111.37441868,6897.24414612,-15647.24408164,-8749.99993552
7,0.14018,0.00114014,0.00215503,-0.00109067,0.02662198,-6.4013616,-0.52333155,10.90668608,-116.21982984,6816.55192237,-15566.55185741,-8749.99993504
8,0.16021,0.00107058,0.0026784,-0.00579677,0.02534063,-5.70584162,-2.75245267,57.96773678,-103.4063044,7029.93989919,-15779.93983554,-8749.99993636
9,0.18024,0.00091202,0.00315831,-0.00988263,0.02228383,-4.12019423,-4.54713662,98.82633733,-72.8382614,7538.99981346,-16288.99975345,-8749.99993999
10,0.20026,0.00068347,0.00355939,-0.01266095,0.017514,-1.83473307,-5.55490809,126.60954318,-25.1400426,8333.3342839,-17083.33423121,-8749.99994731
