,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,KineticEnergy,Potential,Energy
0,0.0,3.0,0.0,-0.684,1.8794,-3.0,0.0,0.684,-1.8794,24.00000216,-60.0,-35.99999784
1,0.02,2.98598565,0.0375866,-0.71748588,1.87918925,-2.98598565,-0.0375866,0.71748588,-1.87918925,24.27682937,-60.2768272,-35.99999784
2,0.04,2.97129852,0.07516472,-0.75127901,1.87854916,-2.97129852,-0.07516472,0.75127901,-1.87854916,24.56020243,-60.56020027,-35.99999784
3,0.06,2.95593243,0.11272563,-0.78538258,1.87746756,-2.95593243,-0.11272563,0.78538258,-1.87746756,24.85026151,-60.85025935,-35.99999783
4,0.08,2.93988113,0.1502604,-0.81979976,1.87593182,-2.93988113,-0.1502604,0.81979976,-1.87593182,25.14715099,-61.14714882,-35.99999783
5,0.1,2.92313833,0.1877598,-0.85453359,1.87392875,-2.92313833,-0.1877598,0.85453359,-1.87392875,25.45101956,-61.45101739,-35.99999783
6,0.12,2.90569766,0.22521435,-0.88958706,1.87144461,-2.90569766,-0.22521435,0.88958706,-1.87144461,25.76202039,-61.76201822,-35.99999783
7,0.14,2.88755271,0.26261429,-0.92496306,1.86846511,-2.88755271,-0.26261429,0.92496306,-1.86846511,26.08031116,-62.08030898,-35.99999783
8,0.16,2.86869698,0.29994956,-0.96066434,1.86497535,-2.86869698,-0.29994956,0.96066434,-1.86497535,26.40605417,-62.40605199,-35.99999782
9,0.18,2.84912395,0.33720981,-0.99669353,1.86095981,-2.84912395,-0.33720981,0.99669353,-1.86095981,26.73941646,-62.73941429,-35.99999782
10,0.2,2.82882704,0.37438435,-1.03305312,1.85640232,-2.82882704,-0.37438435,1.03305312,-1.85640232,27.0805699,-63.08056772,-35.99999782
11,0.22,2.80779961,0.41146218,-1.06974539,1.85128604,-2.80779961,-0.41146218,1.06974539,-1.85128604,27.42969123,-63.42968905,-35.99999782
12,0.24,2.786035,0.44843196,-1.10677247,1.84559342,-2.786035,-0.44843196,1.10677247,-1.84559342,27.7869622,-63.78696002,-35.99999782
13,0.26,2.76352648,0.48528197,-1.14413623,1.83930618,-2.76352648,-0.48528197,1.14413623,-1.83930618,28.15256961,-64.15256744,-35.99999782
14,0.28,2.7402673,0.52200012,-1.18183832,1.83240527,-2.7402673,-0.52200012,1.18183832,-1.83240527,28.52670541,-64.52670324,-35.99999783
15,0.3,2.71625068,0.55857396,-1.21988009,1.82487087,-2.71625068,-0.55857396,1.21988009,-1.82487087,28.9095667,-64.90956453,-35.99999783
16,0.32,2.69146983,0.59499061,-1.2582626,1.81668229,-2.69146983,-0.59499061,1.2582626,-1.81668229,29.30135585,-65.30135368,-35.99999783
17,0.34,2.66591791,0.63123676,-1.29698655,1.80781801,-2.66591791,-0.63123676,1.29698655,-1.80781801,29.70228046,-65.70227829,-35.99999784
18,0.36,2.63958809,0.66729869,-1.33605229,1.7982556,-2.63958809,-0.66729869,1.33605229,-1.7982556,30.11255343,-66.11255127,-35.99999784
19,0.38,2.61247355,0.70316219,-1.3754597,1.78797169,-2.61247355,-0.70316219,1.3754597,-1.78797169,30.53239296,-66.5323908,-35.99999785
20,0.4,2.58456744,0.73881259,-1.41520823,1.77694196,-2.58456744,-0.73881259,1.41520823,-1.77694196,30.96202247,-66.96202033,-35.99999785
21,0.42,2.55586296,0.77423474,-1.45529681,1.76514106,-2.55586296,-0.77423474,1.45529681,-1.76514106,31.40167065,-67.40166851,-35.99999786
22,0.44,2.52635331,0.80941293,-1.49572378,1.75254261,-2.52635331,-0.80941293,1.49572378,-1.75254261,31.85157128,-67.85156916,-35.99999787
23,0.46,2.49603177,0.84433096,-1.53648687,1.73911912,-2.49603177,-0.84433096,1.53648687,-1.73911912,32.31196323,-68.31196112,-35.99999788
24,0.48,2.46489162,0.87897202,-1.57758311,1.72484199,-2.46489162,-0.87897202,1.57758311,-1.72484199,32.78309025,-68.78308814,-35.9999979
25,0.5,2.43292625,0.91331876,-1.61900879,1.70968146,-2.43292625,-0.91331876,1.61900879,-1.70968146,33.26520081,-69.26519872,-35.99999791
26,0.52,2.40012911,0.9473532,-1.66075934,1.69360652,-2.40012911,-0.9473532,1.66075934,-1.69360652,33.75854788,-69.75854581,-35.99999793
27,0.54,2.36649376,0.98105673,-1.7028293,1.67658497,-2.36649376,-0.98105673,1.7028293,-1.67658497,34.26338867,-70.26338662,-35.99999795
28,0.56,2.33201386,1.01441008,-1.74521219,1.65858326,-2.33201386,-1.01441008,1.74521219,-1.65858326,34.77998425,-70.77998222,-35.99999797
29,0.58,2.29668324,1.04739331,-1.78790045,1.63956656,-2.29668324,-1.04739331,1.78790045,-1.63956656,35.30859917,-71.30859717,-35.999998
30,0.6,2.26049587,1.07998575,-1.83088532,1.61949862,-2.26049587,-1.07998575,1.83088532,-1.61949862,35.84950099,-71.84949902,-35.99999803
31,0.62,2.22344592,1.11216601,-1.87415671,1.59834182,-2.22344592,-1.11216601,1.87415671,-1.59834182,36.40295972,-72.40295778,-35.99999806
