,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
0,0.0,-2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,-2.0,0.0,-1.0,2.0,3.8,-1.0,0.0,-7.0,-1.7,-1.5,0.7,6.0,2.6,1.7,-0.7,4.0,1.3,-1.7,1.3,1.5,6.2,1.5,1.5,4.3,0.0,-2.3,-1.3,0.0,-2.0,2.3,-1.5,16.86,-113.86751519,-97.00751519
1,0.02,-1.99949444,0.01983207,0.05041396,0.98333569,3.02219644,1.00023214,1.22227586,0.02455208,0.99808644,-2.01953295,-0.19491462,-0.95368894,1.98020549,3.79967799,-0.97929388,-0.03225045,-7.0297766,-1.68594612,-1.47769488,0.70537184,6.0331883,2.58556904,1.61896275,-0.74271947,3.96438727,1.32462282,-1.86434719,1.16104446,1.53014099,6.2293719,1.51393092,1.43726666,4.25294705,-0.02427451,-2.40499313,-1.12799968,0.04811905,-2.02955238,2.5156602,-1.4549122,17.45432737,-114.46184245,-97.00751508
2,0.04,-1.99798879,0.03933843,0.1000253,0.96742246,3.04901104,1.00104598,1.46260134,0.05874523,0.99203535,-2.03816627,-0.41515844,-0.9102023,1.96083454,3.79870777,-0.95764373,-0.06483209,-7.05910919,-1.67178574,-1.4555996,0.71065106,6.06476401,2.57030587,1.53875023,-0.78324114,3.92529106,1.34637513,-2.04900939,1.01203792,1.56055063,6.25749379,1.52687068,1.37500146,4.2038092,-0.04513464,-2.508639,-0.95819967,0.10080216,-2.05818033,2.75780261,-1.40738293,18.42896499,-115.43647989,-97.00751489
3,0.06,-1.99549815,0.05853372,0.14892767,0.95222217,3.08085749,1.00267562,1.72655175,0.10709142,0.98124149,-2.05596853,-0.67141477,-0.87087455,1.941906,3.79708205,-0.93505393,-0.09781229,-7.08800195,-1.65752068,-1.43371026,0.71584048,6.09474413,2.55425324,1.45941016,-0.82168719,3.88225902,1.36499453,-2.25893707,0.84645611,1.59120946,6.28437515,1.53885643,1.31321527,4.15260539,-0.06260276,-2.61169091,-0.78843661,0.15867712,-2.08582234,3.03706092,-1.35601481,19.90222248,-116.90973705,-97.00751456
4,0.08,-1.99203583,0.07743183,0.19720849,0.93769763,3.11828263,1.00547436,2.02205698,0.17734629,0.96482359,-2.073045,-0.98139991,-0.83818883,1.92343858,3.79479218,-0.91153476,-0.13125817,-7.11645895,-1.6431527,-1.41202278,0.72094288,6.12314648,2.53745137,1.38097978,-0.85818522,3.83471565,1.38005881,-2.50169033,0.65448463,1.62209877,6.31002565,1.54992466,1.25191664,4.09934226,-0.07665764,-2.71462625,-0.61649808,0.22264681,-2.11237886,3.37110411,-1.29825778,22.08238346,-119.08989738,-97.00751392
5,0.1,-1.98761341,0.09604589,0.24495026,0.92381209,3.16202779,1.0100073,2.36098828,0.28370454,0.941417,-2.0895734,-1.37774599,-0.81731416,1.90545069,3.79182817,-0.88710369,-0.16523741,-7.14448418,-1.62868353,-1.39053291,0.72596103,6.14998955,2.51993792,1.30348384,-0.89286916,3.78189542,1.39089163,-2.78907901,0.41973521,1.65320057,6.33445511,1.56011072,1.19111212,4.04402006,-0.08723255,-2.81758807,-0.44003398,0.29409651,-2.13767654,3.79251657,-1.22887029,25.36954115,-122.37705366,-97.00751251
6,0.12,-1.98224088,0.11438832,0.29223198,0.91052835,3.21313462,1.01724524,2.76220038,0.45451001,0.90869122,-2.10589692,-1.9307626,-0.82108286,1.88796033,3.78817867,-0.86178789,-0.19981897,-7.17208155,-1.61411481,-1.36923612,0.7308977,6.17529214,2.50174776,1.2269321,-0.92588061,3.72272959,1.39636525,-3.14033826,0.1114919,1.68449754,6.35767346,1.56944848,1.13080666,3.98664062,-0.09421198,-2.92024436,-0.25651297,0.37537638,-2.16137499,4.37155628,-1.1349392,30.65765985,-127.66516844,-97.00750859
7,0.14,-1.97592668,0.13247077,0.33913091,0.89780691,3.27313765,1.02902499,3.25743799,0.75395125,0.86191885,-2.1228442,-2.83910204,-0.89309089,1.87098481,3.78383093,-0.83562868,-0.23507317,-7.19925488,-1.59944814,-1.34812748,0.73575566,6.19907307,2.48291284,1.15131512,-0.95737177,3.65564257,1.39443715,-3.58827949,-0.33691136,1.71597306,6.37969073,1.57796976,1.07100433,3.92721917,-0.0974284,-3.02153124,-0.06329713,0.47123238,-2.18264666,5.30681515,-0.97277383,40.59073035,-137.59822142,-97.00749107
8,0.1601,-1.9686391,0.1503926,0.38595727,0.88554116,3.34479672,1.0494977,3.90291883,1.36335453,0.786343,-2.1438967,-5.21244595,-1.36904201,1.85445952,3.77874368,-0.80855404,-0.271251,-7.22614058,-1.58461103,-1.32709707,0.74056142,6.22145837,2.46336315,1.0762239,-0.98765867,3.57777346,1.38072801,-4.19104836,-1.10984971,1.74776966,6.40061817,1.58574045,1.01141441,3.8654908,-0.09664901,-3.11973283,0.14302582,0.59668814,-2.19818656,7.70803779,-0.40609595,71.95267126,-168.95977909,-97.00710784
9,0.1801,-1.96045595,0.1679851,0.43232773,0.87376487,3.4306931,1.08978466,4.68421327,2.96434712,0.79584764,-2.23502604,7.17734054,-2.690434,1.83856358,3.77295206,-0.7809403,-0.30804478,-7.25247473,-1.5697526,-1.30634536,0.74526978,6.24224254,2.44331845,1.00231522,-1.01663829,3.48647376,1.34376206,-4.93815355,-2.88805468,1.77955541,6.42025783,1.59270935,0.95263813,3.8021759,-0.09162685,-3.21016287,0.36122375,0.63737875,-2.14165466,-4.65330404,1.00592809,82.35418363,-186.5928254,-104.23864176
